,投资公司,被投资公司,被投资公司规模（：亿美元）,投资规模,投资规模（:亿美元）,投资/总资产,
,奇虎公司,奇步天下,,1.38亿,0.20,,
,奇虎公司,国金天使投资,,2.2亿,0.32,,
,奇虎公司,奇安信科技,,1.49亿,0.21,,
,奇虎公司,良医科技,,0.5亿,0.072,,
,奇虎公司,安云世纪科技,,0.5亿元,0.072,,
,阿里巴巴,阿里云,,60亿,8.54,,
,,旷视科技,35,,7.50,0.214285714285714,
,,,,,,,
,,,,,,,
,,,,,,,
,阿里云,,,,,,
,爱拼网（iPIN）,,,,,,
,百度,新潮传媒,,21亿元,2.98,,
,百度,网易云音乐,,6亿美元,6,,
,百度,狮桥物流,,10亿,1.42,,
,百度,百信银行,,20亿,2.84,,
,百度,酷开,,10.1亿,1.43,,
,百度,极米科技,,6亿,0.85,,
,北京光年无限科技有限公司（图灵机器人）,,,,,,
,北京华宇信息技术有限公司（华宇）,,,,,,
,北京贞观雨科技公司（小猿搜题）,,,,,,
,出门问问,,,,,,
,广东中科人人智能科技（faceOS）,,,,,,
,国双科技（GRIDSUM）,,,,,,
,寒武纪科技（Cambricon）,,,,,,
,杭州辈出科技,,,,,,
,华为,,,,,,
,极限元,,,,,,
,甲骨文,,,,,,
,今日头条,,,,,,
,京东,资彩生活,,3.7亿,0.5264,,
,景驰科技,,,,,,
,科大讯飞,,,,,,
,旷视科技,,,,,,
,苹果公司,,,,,,
,商汤科技,,,,,,
,上海依图网络科技,,,,,,
,深鉴科技（deephi）,,,,,,
,沈阳承泰科技（Cheng-Tech）,,,,,,
,思必驰（AISPEECH）,,,,,,
,思岚科技（SLAMTEC）,,,,,,
,搜狗,,,,,,
,速感科技,,,,,,
,隼眼科技,,,,,,
,腾讯云,,,,,,
,图森未来,,,,,,
,万里云医疗信息科技,,,,,,
,微软,,,,,,
,小米,,,,,,
,优必选,,,,,,
,驭驶科技,,,,,,
,智波科技,,,,,,
,智言科技,,,,,,
,智云奇点科技（AbleCloud）,,,,,,
,中科慧眼（smarter eye）,,,,,,
,AMD,,,,,,
,Google,,,,,,
,IBM,,,,,,
,Intel（英特尔）,,,,,,
,NVIDIA（英伟达）,,,,,,
,Quanergy,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
